----- Lecture du fichier n°4 -----
15 sommet(s)
23 arc(s)

0 -> 1 = -1
0 -> 2 = 0
1 -> 3 = 2
1 -> 6 = 2
2 -> 6 = 5
3 -> 4 = 4
4 -> 5 = 1
5 -> 14 = 9
6 -> 5 = 2
6 -> 7 = 2
6 -> 13 = 2
6 -> 11 = 2
7 -> 8 = 5
7 -> 12 = 5
8 -> 9 = 5
8 -> 5 = 5
8 -> 12 = 5
9 -> 10 = 9
9 -> 12 = 9
10 -> 12 = 2
11 -> 13 = 19
12 -> 14 = 5
13 -> 14 = 1

	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	
0 	999999	-1	0	1	5	6	1	3	8	13	22	3	8	3	4
1 	1000000	999999	1000000	2	6	4	2	4	9	14	23	4	9	4	5
2 	1000000	999999	1000000	1000000	1000000	7	5	7	12	17	26	7	12	7	8
3 	1000000	999999	1000000	1000000	4	5	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	14
4 	1000000	999999	1000000	1000000	1000000	1	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	10
5 	1000000	999999	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	9
6 	1000000	999999	1000000	1000000	1000000	2	1000000	2	7	12	21	2	7	2	3
7 	1000000	999999	1000000	1000000	1000000	10	1000000	1000000	5	10	19	1000000	5	1000000	10
8 	1000000	999999	1000000	1000000	1000000	5	1000000	1000000	1000000	5	14	1000000	5	1000000	10
9 	1000000	999999	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	9	1000000	9	1000000	14
10 	1000000	999999	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	2	1000000	7
11 	1000000	999999	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	19	20
12 	1000000	999999	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	5
13 	1000000	999999	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1
14 	1000000	999999	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000
	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	
0 	1	0	0	1	3	4	1	6	7	8	9	6	7	6	13
1 	1	0	1	1	3	6	1	6	7	8	9	6	7	6	13
2 	2	0	2	2	2	6	2	6	7	8	9	6	7	6	13
3 	3	0	3	3	3	4	3	3	3	3	3	3	3	3	5
4 	4	0	4	4	4	4	4	4	4	4	4	4	4	4	5
5 	5	0	5	5	5	5	5	5	5	5	5	5	5	5	5
6 	6	0	6	6	6	6	6	6	7	8	9	6	7	6	13
7 	7	0	7	7	7	8	7	7	7	8	9	7	7	7	12
8 	8	0	8	8	8	8	8	8	8	8	9	8	8	8	12
9 	9	0	9	9	9	9	9	9	9	9	9	9	9	9	12
10 	10	0	10	10	10	10	10	10	10	10	10	10	10	10	12
11 	11	0	11	11	11	11	11	11	11	11	11	11	11	11	13
12 	12	0	12	12	12	12	12	12	12	12	12	12	12	12	12
13 	13	0	13	13	13	13	13	13	13	13	13	13	13	13	13
14 	14	0	14	14	14	14	14	14	14	14	14	14	14	14	14
